Well Name,Depth,Formation,RelPos,Marine,GR,ILD,DeltaPHI,PHIND,PE,Facies
SHRIMPLIN,851.3064,A1 SH,1.000,1,77.45,4.6132,9.9,11.915,4.6,3
SHRIMPLIN,851.4588,A1 SH,0.979,1,78.26,4.5814,14.2,12.565,4.1,3
SHRIMPLIN,851.6112,A1 SH,0.957,1,79.05,4.5499,14.8,13.050,3.6,3
SHRIMPLIN,851.7636,A1 SH,0.936,1,86.10,4.5186,13.9,13.115,3.5,3
SHRIMPLIN,851.9160,A1 SH,0.915,1,74.58,4.4361,13.5,13.300,3.4,3
SHRIMPLIN,852.0684,A1 SH,0.894,1,73.97,4.3251,14.0,13.385,3.6,3
SHRIMPLIN,852.2208,A1 SH,0.872,1,73.72,4.2658,15.6,13.930,3.7,3
SHRIMPLIN,852.3732,A1 SH,0.830,1,75.65,4.2170,16.5,13.920,3.5,3
SHRIMPLIN,852.5256,A1 SH,0.809,1,73.79,4.2073,16.2,13.980,3.4,3
SHRIMPLIN,852.6780,A1 SH,0.787,1,76.89,4.1210,16.9,14.220,3.5,3
SHRIMPLIN,852.8304,A1 SH,0.766,1,76.11,3.9811,14.8,13.375,3.6,3
SHRIMPLIN,852.9828,A1 SH,0.745,1,74.95,3.8282,13.3,12.690,3.7,3
SHRIMPLIN,853.1352,A1 SH,0.723,1,71.87,3.6392,11.3,12.475,3.5,3
SHRIMPLIN,853.2876,A1 SH,0.702,1,83.42,3.4435,13.3,14.930,3.4,3
SHRIMPLIN,853.4400,A1 SH,0.681,1,90.10,3.3037,14.3,16.555,3.2,2
SHRIMPLIN,853.5924,A1 SH,0.638,1,78.15,2.9309,11.8,15.960,3.1,2
SHRIMPLIN,853.7448,A1 SH,0.617,1,69.30,2.7416,9.5,15.120,3.1,2
SHRIMPLIN,853.8972,A1 SH,0.596,1,63.54,2.6182,8.8,15.190,3.0,2
SHRIMPLIN,854.0496,A1 SH,0.574,1,63.87,2.5177,7.2,15.390,2.9,2
SHRIMPLIN,854.2020,A1 SH,0.553,1,58.32,2.4322,6.6,14.885,2.8,2
SHRIMPLIN,854.3544,A1 SH,0.532,1,56.61,2.3388,5.5,14.800,3.0,2
SHRIMPLIN,854.5068,A1 SH,0.511,1,55.97,2.2491,6.1,14.460,3.0,2
SHRIMPLIN,854.6592,A1 SH,0.489,1,63.67,2.2080,6.0,14.745,3.0,2
SHRIMPLIN,854.8116,A1 SH,0.468,1,66.20,2.1979,6.8,15.135,3.0,2
SHRIMPLIN,854.9640,A1 SH,0.447,1,61.27,2.2182,6.1,15.480,3.0,2
SHRIMPLIN,855.1164,A1 SH,0.404,1,69.48,2.2594,5.8,14.675,3.0,3
SHRIMPLIN,855.2688,A1 SH,0.383,1,76.37,2.2594,5.2,13.635,3.0,3
SHRIMPLIN,855.4212,A1 SH,0.362,1,82.20,2.2284,7.4,15.055,3.0,2
SHRIMPLIN,855.5736,A1 SH,0.340,1,90.25,2.2182,11.5,20.230,3.1,2
SHRIMPLIN,855.7260,A1 SH,0.319,1,94.38,2.2803,14.2,24.015,3.0,2
SHRIMPLIN,855.8784,A1 SH,0.298,1,87.44,2.3823,13.9,23.580,3.1,2
SHRIMPLIN,856.0308,A1 SH,0.277,1,70.98,2.5177,11.5,18.395,3.1,2
SHRIMPLIN,856.1832,A1 SH,0.255,1,64.72,2.7479,10.3,13.815,3.1,2
SHRIMPLIN,856.3356,A1 SH,0.234,1,54.29,2.9512,9.9,9.440,3.2,3
SHRIMPLIN,856.4880,A1 SH,0.213,1,41.46,3.1117,11.1,5.255,3.4,3
SHRIMPLIN,856.6404,A1 SH,0.170,1,50.93,3.3420,12.1,5.265,4.6,3
SHRIMPLIN,856.7928,A1 SH,0.149,1,72.79,3.4914,11.3,11.760,4.1,3
SHRIMPLIN,856.9452,A1 SH,0.128,1,95.34,3.5892,14.1,17.665,3.5,3
SHRIMPLIN,857.0976,A1 SH,0.106,1,102.35,3.6141,15.8,20.145,3.2,3
SHRIMPLIN,857.2500,A1 SH,0.085,1,79.70,3.5400,15.5,18.070,3.2,3
SHRIMPLIN,857.4024,A1 SH,0.064,1,66.69,3.3884,14.0,15.720,3.3,3
