Sample,Lithofacies,Facies Association,Carbonate,Quartz,Matrix,Bioclasts,Authigenic
40,5,C,34.3,11.7,0.0,1.0,30.3
42,9,D,49.3,6.3,3.7,0.0,17.3
43,9,D,15.0,4.7,0.0,40.7,34.0
44,9,D,49.0,7.0,0.0,0.0,28.7
45,9,D,47.7,8.3,12.3,0.3,19.0
48,9,D,56.3,8.7,0.1,0.0,29.3
61,5,C,25.0,5.0,37.0,5.0,18.0
65,5,C,24.0,5.0,40.0,3.0,20.0
67,5,C,30.0,10.0,25.0,3.0,20.0
68,5,C,28.0,10.0,28.0,0.1,21.0
71,5,C,21.3,12.3,31.7,6.3,21.3
82,5,C,50.0,12.5,12.0,0.0,13.5
85,5,C,6.7,4.7,55.0,8.7,23.0
89,5,C,22.0,9.3,15.0,12.0,35.7
90,5,C,32.7,7.7,18.0,0.0,30.0
91,5,C,19.5,9.0,8.0,1.3,57.3
93,9,D,31.7,19.3,3.0,0.0,19.0
95,9,D,38.0,27.7,0.1,0.0,14.7
101,5,C,29.0,7.3,37.3,1.0,11.0
102,9,D,44.7,14.7,8.3,0.3,17.7
105,9,D,39.0,17.3,10.0,0.0,24.0
203,9,D,57.0,10.0,2.7,1.7,13.0
204,9,D,48.0,6.0,0.0,9.0,20.3
205,9,D,50.0,9.7,0.0,0.0,23.0
206,9,D,52.3,11.0,0.0,0.0,18.7
208,10,E,42.0,4.7,15.7,0.0,27.7
213,8,D,48.7,3.7,3.3,0.3,21.3
214,8,D,52.3,5.3,1.3,0.0,23.7
215,8,D,51.0,10.0,8.0,1.3,17.3
216,8,D,44.7,14.7,5.7,5.0,20.3
217,5,C,17.0,3.7,35.3,3.0,33.3
218,9,D,33.0,10.0,7.3,1.3,31.7
224,9,D,43.3,11.7,2.7,0.0,31.0
229,6,C,25.0,9.7,33.3,3.0,23.0
292,6,C,27.3,2.7,10.3,20.7,26.0
295,5,C,21.0,8.7,28.0,8.0,27.0
296,7,C,4.3,4.3,56.7,21.7,8.0
300,5,C,21.3,5.7,55.0,3.7,7.7
301,5,C,35.7,9.7,16.3,7.3,17.6
302,5,C,28.3,12.7,19.0,3.7,28.7
303,5,C,28.3,12.0,23.0,14.3,13.3
304,5,C,40.7,12.3,8.0,8.3,19.7
305,5,C,34.3,8.3,33.7,0.3,17.7
306,9,D,43.7,11.3,2.0,4.3,21.7
308,9,D,38.0,11.0,17.7,0.0,24.0
309,11,E,28.7,28.7,2.3,0.0,9.3
311,11,E,27.3,26.3,5.3,0.0,21.7
312,11,E,22.3,22.0,0.1,0.3,33.7
317,11,E,55.7,19.0,0.0,0.3,15.0
318,11,E,47.7,26.7,0.0,0.0,19.7
350,11,E,22.0,33.0,3.0,0.0,14.0
