RPC,Description,Lithology,Vp,Vs,Rho
101023,Gray Shale,shale,4953.66,2957.26,2.71
100978,Olentangy Shale,shale,3444.66,2318.00,2.68
100993,Brown Gas Shale,shale,3507.80,2218.53,2.56
101048,Shale 2 (Density is assumed constant),shale,2988.89,1633.33,2.60
100417,Tight gas shale,shale,3642.00,2221.00,2.46
101024,Gray Shale,shale,4987.07,2963.49,2.71
100969,Marcellus Black Shale,shale,4395.76,2587.13,2.51
100073,Hard shale,shale,3819.02,2521.05,2.63
101057,Shale 2 (Density is assumed constant),shale,3033.33,1633.33,2.60
100050,Shale,shale,2402.74,1447.17,2.35
100124,Pierre shale,shale,2202.00,969.00,2.25
100999,Brown Gas Shale,shale,3893.10,2444.70,2.56
100052,Shale,shale,2509.12,1487.70,2.35
100829,Jurassic Shale (Table 7.2) Outcrop,shale,3545.00,1830.00,2.50
100063,Hard shale,shale,3726.75,2377.92,2.60
100982,Olentangy Shale,shale,3750.62,2458.61,2.68
100068,Hard shale,shale,3965.98,2627.78,2.63
100738,Beijing Jurassic Shale,shale,5258.46,2262.08,2.55
100836,Kimmeridge Shale,shale,3669.00,1958.00,2.59
100082,Hard shale,shale,4408.83,2687.70,2.60
100125,Shale,shale,3048.00,1490.00,2.42
100436,Caney Shale,shale,1490.71,1084.65,2.30
101108,Oficina Dolomitized Shale,shale,5191.00,3024.00,2.78
100129,Green River shale,shale,4404.00,2582.00,2.31
100368,Bakken Formation,shale,3850.00,2400.00,2.48
100977,Olentangy Shale,shale,3238.07,2252.69,2.68
101004,Brown Gas Shale,shale,4722.78,2738.61,2.56
100963,Marcellus Black Shale,shale,3787.17,2344.78,2.51
100986,Olentangy Shale,shale,4484.63,2676.60,2.68
101007,Brown Gas Shale,shale,5069.83,2944.80,2.56
101055,Shale 2 (Density is assumed constant),shale,3044.44,1664.81,2.60
100985,Olentangy Shale,shale,4319.34,2627.35,2.68
100739,Beijing Jurassic Shale,shale,5320.42,2276.11,2.55
101050,Shale 2 (Density is assumed constant),shale,2888.89,1624.07,2.60
100965,Marcellus Black Shale,shale,3921.54,2395.21,2.51
100077,Hard shale,shale,3792.98,2276.75,2.56
100046,Shale,shale,2290.84,1340.97,2.32
100816,Woodford Shale,shale,2860.00,1562.00,2.27
100814,Woodford Shale,shale,2980.00,1650.00,2.09
100035,Shale,shale,3235.11,1572.62,2.51
100033,Shale,shale,3442.09,1749.47,2.41
100058,Shale,shale,2740.86,1379.00,2.44
100031,Shale,shale,3198.84,1603.31,2.41
101005,Brown Gas Shale,shale,4792.57,2877.72,2.56
101013,Gray Shale,shale,4024.83,2489.83,2.71
100120,Wills Point shale,shale,4130.00,2380.00,2.64
100964,Marcellus Black Shale,shale,3854.94,2361.71,2.51
100599,Laminated Mudstone,shale,3043.00,1342.00,2.49
100732,Beijing Jurassic Shale,shale,4993.92,1943.88,2.55
101056,Shale 2 (Density is assumed constant),shale,3024.07,1644.44,2.60
101045,Shale 2 (Density is assumed constant),shale,2844.44,1566.67,2.60
100817,Woodford Shale,shale,2532.00,1492.00,2.26
100837,Kimmeridge Shale,shale,3736.00,1996.00,2.59
101100,Oficina Sandy Shale,shale,3119.00,2020.00,2.39
100101,Mesaverde clayshale,shale,3794.00,2074.00,2.56
100833,Kimmeridge Shale,shale,3476.00,1863.00,2.59
100034,Shale,shale,3117.89,1531.56,2.51
100972,Marcellus Black Shale,shale,4773.77,2700.15,2.51
101053,Shale 2 (Density is assumed constant),shale,3144.44,1655.56,2.60
100825,Jurassic Shale (Table 7.2) Outcrop,shale,3001.00,1401.00,2.50
101097,Oficina Sandy Shale,shale,2809.00,1936.00,2.39
100080,Hard shale,shale,4265.90,2660.34,2.60
100121,Cotton Valley Shale,shale,4721.00,2890.00,2.64
101104,Oficina Sandy Shale,shale,3428.00,2127.00,2.39
100071,Hard shale,shale,3728.71,2496.00,2.63
100390,Alberta Shale,shale,3900.00,2600.00,2.60
101111,Oficina Dolomitized Shale,shale,5244.00,3040.00,2.78
100411,Tight gas shale,shale,3373.00,2124.00,2.40
100989,Olentangy Shale,shale,4852.30,2765.73,2.68
101014,Gray Shale,shale,4151.20,2555.65,2.71
100362,Bakken Formation,shale,3380.00,2120.00,2.22
100067,Hard shale,shale,3853.52,2579.53,2.63
100834,Kimmeridge Shale,shale,3552.00,1895.00,2.59
100040,Shale,shale,3737.19,2048.37,2.57
101011,Gray Shale,shale,3837.09,2391.56,2.71
100078,Hard shale,shale,3879.53,2288.73,2.56
100991,Olentangy Shale,shale,5022.34,2825.79,2.68
101109,Oficina Dolomitized Shale,shale,5207.00,3031.00,2.78
100996,Brown Gas Shale,shale,3734.34,2404.42,2.56
100422,Tight gas shale,shale,3936.00,2382.00,2.58
101099,Oficina Sandy Shale,shale,3003.00,1987.00,2.39
100045,Shale,shale,3374.11,1699.29,2.54
100061,Shale,shale,2941.37,1424.32,2.44
100737,Beijing Jurassic Shale,shale,5217.91,2219.22,2.55
101098,Oficina Sandy Shale,shale,2879.00,1954.00,2.39
100971,Marcellus Black Shale,shale,4664.01,2648.01,2.51
100366,Bakken Formation,shale,4210.00,2520.00,2.55
100437,Woodford,shale,3669.52,2461.59,2.53
100597,Laminated Mudstone,shale,3066.00,1459.00,2.51
100048,Shale,shale,2409.20,1402.27,2.32
100059,Shale,shale,2813.17,1395.25,2.44
101101,Oficina Sandy Shale,shale,3209.00,2048.00,2.39
100097,Mesaverde clayshale,shale,3928.00,2055.00,2.59
100980,Olentangy Shale,shale,3665.08,2381.52,2.68
100598,Lenticular & Laminated Mudstone,shale,3443.00,1721.00,2.52
100365,Bakken Formation,shale,3290.00,1860.00,2.35
100105,Mesaverde mudshale,shale,5073.00,2998.00,2.68
100147,Anisotropic shale,shale,2745.00,1508.00,2.34
100962,Marcellus Black Shale,shale,3750.17,2301.91,2.51
100835,Kimmeridge Shale,shale,3602.00,1928.00,2.59
100420,Tight gas shale,shale,3612.00,2140.00,2.47
100979,Olentangy Shale,shale,3540.81,2334.04,2.68
100438,Woodford,shale,3502.23,2484.33,2.56
101058,Shale 2 (Density is assumed constant),shale,3077.78,1711.11,2.60
100060,Shale,shale,2868.00,1409.86,2.44
100069,Hard shale,shale,4067.38,2655.88,2.63
100064,Hard shale,shale,3789.06,2395.61,2.60
100997,Brown Gas Shale,shale,3827.33,2404.42,2.56
100826,Jurassic Shale (Table 7.2) Outcrop,shale,3120.00,1520.00,2.50
100238,Jurassic North Sea Shale,shale,3296.00,1660.00,2.49
100838,Kimmeridge Shale,shale,3777.00,2020.00,2.59
101112,Oficina Dolomitized Shale,shale,5267.00,3047.00,2.78
100076,Hard shale,shale,3703.36,2264.71,2.56
100410,Tight gas shale,shale,3531.00,2307.00,2.45
101001,Brown Gas Shale,shale,4271.09,2561.74,2.56
100973,Marcellus Black Shale,shale,4876.97,2736.79,2.51
100815,Woodford Shale,shale,2902.00,1610.00,2.13
100828,Jurassic Shale (Table 7.2) Outcrop,shale,3436.00,1762.00,2.50
101062,Shale 2 (Density is assumed constant),shale,3466.67,1877.78,2.60
100364,Bakken Formation,shale,3510.00,2030.00,2.34
100032,Shale,shale,3360.90,1686.62,2.41
100367,Bakken Formation,shale,3720.00,2250.00,2.38
101102,Oficina Sandy Shale,shale,3291.00,2076.00,2.39
100984,Olentangy Shale,shale,4124.92,2569.92,2.68
100425,Tight gas shale,shale,3537.00,2168.00,2.47
100036,Shale,shale,3314.16,1620.02,2.51
100418,Tight gas shale,shale,3214.00,2104.00,2.42
100092,Mesaverde mudshale,shale,4529.00,2703.00,2.52
101103,Oficina Sandy Shale,shale,3361.00,2103.00,2.39
100394,Nahr Umr Shale,shale,4158.00,1622.00,2.57
100057,Shale,shale,3353.57,1578.87,2.44
100416,Tight gas shale,shale,3522.00,2314.00,2.41
100818,Woodford Shale,shale,2615.00,1571.00,2.18
101016,Gray Shale,shale,4376.22,2709.83,2.71
101019,Gray Shale,shale,4646.15,2855.69,2.71
100831,Kimmeridge Shale,shale,3246.00,1706.00,2.59
100433,Barnett Shale,shale,2429.50,1680.16,2.34
100043,Shale,shale,3222.82,1606.20,2.54
100987,Olentangy Shale,shale,4615.84,2731.79,2.68
100053,Shale,shale,2530.19,1494.82,2.35
100832,Kimmeridge Shale,shale,3392.00,1811.00,2.59
100990,Olentangy Shale,shale,4921.02,2785.89,2.68
100551,NW Shelf Australia Shale,shale,3081.00,2250.00,2.45
100065,Hard shale,shale,3839.39,2409.20,2.60
101042,Shale 2 (Density is assumed constant),shale,2933.33,1555.56,2.60
100970,Marcellus Black Shale,shale,4534.07,2625.34,2.51
100081,Hard shale,shale,4333.96,2675.49,2.60
100042,Shale,shale,3911.91,2169.94,2.57
101010,Gray Shale,shale,3774.06,2360.50,2.71
101003,Brown Gas Shale,shale,4614.01,2636.88,2.56
100976,Marcellus Black Shale,shale,5181.95,2829.84,2.51
100434,Caney Shale,shale,1672.12,1144.82,2.29
101015,Gray Shale,shale,4212.97,2584.37,2.71
100054,Shale,shale,3080.18,1347.71,2.44
101002,Brown Gas Shale,shale,4410.57,2629.46,2.56
101106,Oficina Dolomitized Shale,shale,5172.00,3021.00,2.78
100079,Hard shale,shale,4173.28,2638.54,2.60
101017,Gray Shale,shale,4451.46,2750.38,2.71
100968,Marcellus Black Shale,shale,4224.76,2516.88,2.51
100363,Bakken Formation,shale,3460.00,2000.00,2.33
100415,Tight gas shale,shale,3880.00,2453.00,2.49
