RPC,Lithology,Vp,Rho
104818,sandstone,3045.6,2108.0
104893,sandstone,3000.6,2126.0
104652,sandstone,3363.6,2162.0
104752,sandstone,3195.3,2160.0
104598,sandstone,4237.5,2428.0
104601,sandstone,4319.1,2428.0
104617,sandstone,4533.0,2428.0
104700,sandstone,3538.5,2084.0
104674,sandstone,3524.7,2162.0
104678,sandstone,3565.2,2162.0
104657,sandstone,3442.8,2162.0
104845,sandstone,3352.2,2066.0
104666,sandstone,3340.2,2162.0
104649,sandstone,3318.9,2162.0
104711,sandstone,4392.0,2138.0
104777,sandstone,3380.1,2045.0
104827,sandstone,3085.2,2066.0
104683,sandstone,3617.1,2162.0
104712,sandstone,5406.0,2138.0
104701,sandstone,3620.7,2084.0
104581,sandstone,4017.0,2428.0
104654,sandstone,3400.5,2162.0
104604,sandstone,4349.4,2428.0
104814,sandstone,3045.6,2108.0
104756,sandstone,3206.7,2160.0
104828,sandstone,3096.6,2066.0
104615,sandstone,4541.4,2428.0
104817,sandstone,3019.5,2108.0
104687,sandstone,3113.4,2084.0
104608,sandstone,4364.7,2428.0
104612,sandstone,4558.2,2428.0
104643,sandstone,3155.1,2162.0
104694,sandstone,3361.5,2084.0
104575,sandstone,3627.9,2428.0
104676,sandstone,3596.1,2162.0
104579,sandstone,3534.3,2428.0
104653,sandstone,3381.9,2162.0
104664,sandstone,3149.7,2162.0
104813,sandstone,3012.3,2108.0
104890,sandstone,3000.6,2126.0
104753,sandstone,3252.9,2160.0
104584,sandstone,4166.1,2428.0
104685,sandstone,3675.9,2162.0
104580,sandstone,3836.1,2428.0
104689,sandstone,3343.5,2084.0
104770,sandstone,3020.1,2045.0
104600,sandstone,4237.5,2428.0
104619,sandstone,3991.2,2395.0
104644,sandstone,3050.7,2162.0
104826,sandstone,3047.7,2066.0
104843,sandstone,3207.0,2066.0
104621,sandstone,4223.1,2395.0
104622,sandstone,4319.1,2395.0
104634,sandstone,4575.0,2395.0
104706,sandstone,3690.6,2084.0
104669,sandstone,3437.1,2162.0
104856,sandstone,5917.0,2117.0
104830,sandstone,3190.8,2066.0
104692,sandstone,3579.0,2084.0
104624,sandstone,4467.6,2395.0
104593,sandstone,4411.5,2428.0
104594,sandstone,4443.3,2428.0
104616,sandstone,4600.5,2428.0
104585,sandstone,4017.0,2428.0
104609,sandstone,4451.4,2428.0
104755,sandstone,3292.8,2160.0
104824,sandstone,3053.1,2108.0
104673,sandstone,3495.0,2162.0
104591,sandstone,4395.9,2428.0
104586,sandstone,4259.4,2428.0
104645,sandstone,3084.9,2162.0
104690,sandstone,3435.9,2084.0
104709,sandstone,3674.4,2084.0
104679,sandstone,3585.9,2162.0
104587,sandstone,4274.1,2428.0
104656,sandstone,3423.9,2162.0
104646,sandstone,3069.6,2162.0
104592,sandstone,4411.5,2428.0
104842,sandstone,3365.7,2066.0
104658,sandstone,3456.9,2162.0
104623,sandstone,4388.1,2395.0
104590,sandstone,4244.7,2428.0
104672,sandstone,3451.5,2162.0
104852,sandstone,5232.0,2117.0
104668,sandstone,3437.1,2162.0
104829,sandstone,3142.8,2066.0
104837,sandstone,3316.8,2066.0
104855,sandstone,4788.0,2117.0
104698,sandstone,3652.8,2084.0
104680,sandstone,3606.6,2162.0
104662,sandstone,3520.5,2162.0
104574,sandstone,3445.5,2428.0
104841,sandstone,3330.0,2066.0
104583,sandstone,4110.6,2428.0
104754,sandstone,3252.9,2160.0
104667,sandstone,3376.5,2162.0
104688,sandstone,3226.2,2084.0
104648,sandstone,3062.1,2162.0
104702,sandstone,3685.2,2084.0
104775,sandstone,3188.1,2045.0
104628,sandstone,4427.4,2395.0
104659,sandstone,3481.2,2162.0
104771,sandstone,3111.6,2045.0
104632,sandstone,4443.3,2395.0
104650,sandstone,3372.9,2162.0
104631,sandstone,4357.2,2395.0
105090,sandstone,3250.0,2440.0
104713,sandstone,5850.0,2138.0
104614,sandstone,4524.6,2428.0
104602,sandstone,4187.4,2428.0
104891,sandstone,3053.7,2126.0
104844,sandstone,3269.4,2066.0
104603,sandstone,4289.1,2428.0
104684,sandstone,3643.8,2162.0
104577,sandstone,3854.1,2428.0
104595,sandstone,4056.6,2428.0
104613,sandstone,4467.6,2428.0
104704,sandstone,3792.0,2084.0
104637,sandstone,4541.4,2395.0
104636,sandstone,4459.5,2395.0
104699,sandstone,3729.3,2084.0
104832,sandstone,3081.3,2066.0
104848,sandstone,3289.0,2117.0
104695,sandstone,3479.1,2084.0
104661,sandstone,3481.2,2162.0
104778,sandstone,3196.2,2045.0
104610,sandstone,4475.4,2428.0
104597,sandstone,4166.1,2428.0
104831,sandstone,3235.8,2066.0
104576,sandstone,3714.9,2428.0
104686,sandstone,3606.6,2162.0
104626,sandstone,4259.4,2395.0
104819,sandstone,3091.5,2108.0
104642,sandstone,3028.5,2162.0
104633,sandstone,4524.6,2395.0
104651,sandstone,3341.1,2162.0
104840,sandstone,3290.7,2066.0
104703,sandstone,3740.7,2084.0
104660,sandstone,3581.1,2162.0
104894,sandstone,5993.0,2061.0
104850,sandstone,4700.0,2117.0
104627,sandstone,4341.9,2395.0
104823,sandstone,3138.6,2108.0
104655,sandstone,3495.9,2162.0
104835,sandstone,3215.1,2066.0
104747,sandstone,3003.3,2160.0
104675,sandstone,3540.0,2162.0
104839,sandstone,3215.1,2066.0
104768,sandstone,3088.2,2045.0
104772,sandstone,3175.8,2045.0
104629,sandstone,4491.9,2395.0
104717,sandstone,5907.0,2138.0
104696,sandstone,3518.4,2084.0
104639,sandstone,4643.7,2395.0
104611,sandstone,4524.6,2428.0
104606,sandstone,4388.1,2428.0
104834,sandstone,3150.9,2066.0
104670,sandstone,3465.9,2162.0
104638,sandstone,4592.1,2395.0
104851,sandstone,4991.0,2117.0
104596,sandstone,4083.6,2428.0
104691,sandstone,3523.5,2084.0
104833,sandstone,3089.1,2066.0
104605,sandstone,4388.1,2428.0
104822,sandstone,3068.4,2108.0
104665,sandstone,3227.4,2162.0
104588,sandstone,4304.1,2428.0
104821,sandstone,3049.5,2108.0
104630,sandstone,4549.8,2395.0
104773,sandstone,3290.1,2045.0
104748,sandstone,3082.2,2160.0
104750,sandstone,3187.8,2160.0
104635,sandstone,4626.3,2395.0
104892,sandstone,3086.4,2126.0
104847,sandstone,3321.3,2066.0
104697,sandstone,3605.1,2084.0
104677,sandstone,3485.4,2162.0
104846,sandstone,3388.2,2066.0
104671,sandstone,3340.2,2162.0
104618,sandstone,3933.9,2395.0
104708,sandstone,3786.0,2084.0
104625,sandstone,4166.1,2395.0
104707,sandstone,3729.3,2084.0
104776,sandstone,3298.8,2045.0
104607,sandstone,4459.5,2428.0
104749,sandstone,3135.9,2160.0
104582,sandstone,4070.1,2428.0
104620,sandstone,4110.6,2395.0
104836,sandstone,3290.7,2066.0
104578,sandstone,3878.4,2428.0
104849,sandstone,3863.0,2117.0
104589,sandstone,4319.1,2428.0
104705,sandstone,3626.1,2084.0
104640,sandstone,4541.4,2395.0
104681,sandstone,3643.8,2162.0
104710,sandstone,3768.0,2138.0
104682,sandstone,3560.1,2162.0
104599,sandstone,4223.1,2428.0
104693,sandstone,3610.2,2084.0
104751,sandstone,3030.3,2160.0
101023,shale,4953.660011,2710.000038
100978,shale,3444.658279,2680.0000670000004
100993,shale,3507.803917,2559.999943
101048,shale,2988.889933,2600.0
100417,shale,3642.0,2460.0
101024,shale,4987.068176,2710.000038
100969,shale,4395.760536,2509.999991
100073,shale,3819.020748,2626.0
101057,shale,3033.329964,2600.0
100050,shale,2402.738333,2354.0
100124,shale,2202.0,2250.0
100999,shale,3893.102884,2559.999943
100052,shale,2509.11665,2354.0
100829,shale,3545.0,2500.0
100063,shale,3726.751328,2605.0
100982,shale,3750.621796,2680.0000670000004
100068,shale,3965.976238,2627.0
100738,shale,5258.46,2550.0
100836,shale,3669.0,2590.0
100082,shale,4408.833504,2597.0
100125,shale,3048.0,2420.0
100436,shale,1490.711927,2295.0000760000003
101108,shale,5191.0,2780.0
100129,shale,4404.0,2310.0
100368,shale,3850.0,2480.0
100977,shale,3238.066435,2680.0000670000004
101004,shale,4722.784042,2559.999943
100963,shale,3787.166357,2509.999991
100986,shale,4484.633922999999,2680.0000670000004
101007,shale,5069.825172,2559.999943
101055,shale,3044.440031,2600.0
100985,shale,4319.342136,2680.0000670000004
100739,shale,5320.42,2550.0
101050,shale,2888.8900280000003,2600.0
100965,shale,3921.541214,2509.999991
100077,shale,3792.983055,2560.0
100046,shale,2290.840864,2319.0
100816,shale,2860.0,2270.0
100814,shale,2980.0,2090.0
100035,shale,3235.11219,2511.0
100033,shale,3442.093372,2408.0
100058,shale,2740.856648,2440.0
100031,shale,3198.837042,2408.0
