RPC,Description,Lithology,Vp,Vs,Rho
101023,Gray Shale,shale,4953.660011,2957.260132,2.710000038
100978,Olentangy Shale,shale,3444.658279,2318.002224,2.680000067
100993,Brown Gas Shale,shale,3507.803917,2218.52994,2.559999943
101048,Shale 2 (Density is assumed constant),shale,2988.889933,1633.329988,2.6
100417,Tight gas shale,shale,3642.0,2221.0,2.46
101024,Gray Shale,shale,4987.068176,2963.492394,2.710000038
100969,Marcellus Black Shale,shale,4395.760536,2587.127209,2.509999991
100073,Hard shale,shale,3819.020748,2521.0464,2.626
101057,Shale 2 (Density is assumed constant),shale,3033.329964,1633.329988,2.6
100050,Shale,shale,2402.738333,1447.172165,2.354
100124,Pierre shale,shale,2202.0,969.0,2.25
100999,Brown Gas Shale,shale,3893.102884,2444.700956,2.559999943
100052,Shale,shale,2509.11665,1487.700939,2.354
100829,Jurassic Shale (Table 7.2) Outcrop,shale,3545.0,1830.0,2.5
100063,Hard shale,shale,3726.751328,2377.921343,2.605
100982,Olentangy Shale,shale,3750.621796,2458.61268,2.680000067
100068,Hard shale,shale,3965.976238,2627.777576,2.627
100738,Beijing Jurassic Shale,shale,5258.46,2262.08,2.55
100836,Kimmeridge Shale,shale,3669.0,1958.0,2.59
100082,Hard shale,shale,4408.833504,2687.697887,2.597
100125,Shale,shale,3048.0,1490.0,2.42
100436,Caney Shale,shale,1490.711927,1084.652305,2.295000076
101108,Oficina Dolomitized Shale,shale,5191.0,3024.0,2.78
100129,Green River shale,shale,4404.0,2582.0,2.31
100368,Bakken Formation,shale,3850.0,2400.0,2.48
100977,Olentangy Shale,shale,3238.066435,2252.693176,2.680000067
101004,Brown Gas Shale,shale,4722.784042,2738.61289,2.559999943
100963,Marcellus Black Shale,shale,3787.166357,2344.783306,2.509999991
100986,Olentangy Shale,shale,4484.633923,2676.598549,2.680000067
101007,Brown Gas Shale,shale,5069.825172,2944.804907,2.559999943
101055,Shale 2 (Density is assumed constant),shale,3044.440031,1664.809942,2.6
100985,Olentangy Shale,shale,4319.342136,2627.353191,2.680000067
100739,Beijing Jurassic Shale,shale,5320.42,2276.11,2.55
101050,Shale 2 (Density is assumed constant),shale,2888.890028,1624.070048,2.6
100965,Marcellus Black Shale,shale,3921.541214,2395.214319,2.509999991
100077,Hard shale,shale,3792.983055,2276.750803,2.56
100046,Shale,shale,2290.840864,1340.965629,2.319
100816,Woodford Shale,shale,2860.0,1562.0,2.27
100814,Woodford Shale,shale,2980.0,1650.0,2.09
100035,Shale,shale,3235.11219,1572.615147,2.511
100033,Shale,shale,3442.093372,1749.465942,2.408
100058,Shale,shale,2740.856648,1378.999353,2.44
100031,Shale,shale,3198.837042,1603.308439,2.408
101005,Brown Gas Shale,shale,4792.572498,2877.716303,2.559999943
101013,Gray Shale,shale,4024.830818,2489.831686,2.710000038
100120,Wills Point shale,shale,4130.0,2380.0,2.64
100964,Marcellus Black Shale,shale,3854.939461,2361.713171,2.509999991
100599,Laminated Mudstone,shale,3043.0,1342.0,2.492
100732,Beijing Jurassic Shale,shale,4993.92,1943.88,2.55
101056,Shale 2 (Density is assumed constant),shale,3024.070025,1644.440055,2.6
101045,Shale 2 (Density is assumed constant),shale,2844.439983,1566.669941,2.6
100817,Woodford Shale,shale,2532.0,1492.0,2.26
100837,Kimmeridge Shale,shale,3736.0,1996.0,2.59
101100,Oficina Sandy Shale,shale,3119.0,2020.0,2.39
100101,Mesaverde clayshale,shale,3794.0,2074.0,2.56
100833,Kimmeridge Shale,shale,3476.0,1863.0,2.59
100034,Shale,shale,3117.888212,1531.561017,2.511
100972,Marcellus Black Shale,shale,4773.766518,2700.154781,2.509999991
101053,Shale 2 (Density is assumed constant),shale,3144.439936,1655.560017,2.6
100825,Jurassic Shale (Table 7.2) Outcrop,shale,3001.0,1401.0,2.5
101097,Oficina Sandy Shale,shale,2809.0,1936.0,2.39
100080,Hard shale,shale,4265.902042,2660.337687,2.597
100121,Cotton Valley Shale,shale,4721.0,2890.0,2.64
101104,Oficina Sandy Shale,shale,3428.0,2127.0,2.39
100071,Hard shale,shale,3728.709459,2495.998383,2.626
100390,Alberta Shale,shale,3900.0,2600.0,2.6
101111,Oficina Dolomitized Shale,shale,5244.0,3040.0,2.78
100411,Tight gas shale,shale,3373.0,2124.0,2.4
100989,Olentangy Shale,shale,4852.295876,2765.728474,2.680000067
101014,Gray Shale,shale,4151.201248,2555.653572,2.710000038
100362,Bakken Formation,shale,3380.0,2120.0,2.22
100067,Hard shale,shale,3853.522778,2579.530478,2.627
100834,Kimmeridge Shale,shale,3552.0,1895.0,2.59
100040,Shale,shale,3737.190008,2048.366308,2.574
101011,Gray Shale,shale,3837.088347,2391.559601,2.710000038
100078,Hard shale,shale,3879.533529,2288.729191,2.56
100991,Olentangy Shale,shale,5022.337914,2825.787306,2.680000067
