Lithology,Vp,Rho
shale,4953.660011,2.7166386302668006
shale,3444.658279,2.695508460693545
shale,3507.803917,2.5610159225579374
shale,2988.889933,2.5644066530072824
shale,3642.0,2.4194477546573347
shale,4987.068176,2.6994527311986816
shale,4395.760536,2.543268745691404
shale,3819.020748,2.577656723311537
shale,3033.329964,2.6058341696903655
shale,2402.738333,2.387896562108249
shale,2202.0,2.292802788748692
shale,3893.102884,2.54862095868473
shale,2509.11665,2.324628070362844
shale,3545.0,2.536731148188437
shale,3726.751328,2.599495209727109
shale,3750.621796,2.6908247748891143
shale,3965.976238,2.6265873657166146
shale,5258.46,2.5742031676380868
shale,3669.0,2.5734980668699845
shale,4408.833504,2.645971885600142
shale,3048.0,2.377033149038862
shale,1490.711927,2.259826927159395
shale,5191.0,2.7345167894690365
shale,4404.0,2.3095990991656787
shale,3850.0,2.495447522894479
shale,3238.066435,2.6499338396226
shale,4722.784042,2.526360647928889
shale,3787.166357,2.4911917953106073
shale,4484.633922999999,2.641335261277807
shale,5069.825172,2.545896986403886
shale,3044.440031,2.6141916060033545
shale,4319.342136,2.726357085337926
shale,5320.42,2.5940664383136887
shale,2888.8900280000003,2.564961317983889
shale,3921.541214,2.5521128534274307
shale,3792.983055,2.599985068831043
shale,2290.840864,2.2753503634876484
shale,2860.0,2.2799005251028004
shale,2980.0,2.0658111673103807
shale,3235.11219,2.5182298264961487
shale,3442.093372,2.444880245504812
shale,2740.856648,2.464752833961667
shale,3198.837042,2.4013970137254295
shale,4792.572498,2.5483662416091177
shale,4024.830818,2.759569963354026
shale,4130.0,2.635498659167328
shale,3854.939461,2.5288584337360827
shale,3043.0,2.47956968029487
shale,4993.92,2.507022215543446
shale,3024.070025,2.6349211307847553
shale,2844.439983,2.634367792763109
shale,2532.0,2.223313060199024
shale,3736.0,2.570006883902054
shale,3119.0,2.3553036730709467
shale,3794.0,2.5417046344650074
shale,3476.0,2.637656935396815
shale,3117.8882120000003,2.5012962861923227
shale,4773.766518,2.5462403899813264
shale,3144.439936,2.613243463904736
shale,3001.0,2.5311662531309618
shale,2809.0,2.343596953260251
shale,4265.902042000001,2.5809785368552336
shale,4721.0,2.650770665044395
shale,3428.0,2.4184607118910644
shale,3728.709459,2.63536090245531
shale,3900.0,2.6469239618247102
shale,5244.0,2.7549969767833216
shale,3373.0,2.3826977933150526
shale,4852.295876,2.6909855717904363
shale,4151.201247999999,2.6838199423717866
shale,3380.0,2.224389985444109
shale,3853.522778,2.644374797996999
shale,3552.0,2.5958612023175447
shale,3737.190008,2.5951481816185566
shale,3837.088347,2.713871084458812
shale,3879.533529,2.540266305909653
shale,5022.337914,2.6885842875077204
shale,5207.0,2.773408492224916
shale,3734.342337,2.523546175651888
shale,3936.0,2.5860540478291565
shale,3003.0,2.4065544563166252
shale,3374.109507,2.5045083233915078
shale,2941.366911,2.466663033956172
shale,5217.91,2.5877661282022433
shale,2879.0,2.3598972056556007
shale,4664.0095710000005,2.483525107058531
shale,4210.0,2.575486503286793
shale,3669.515848,2.5321393754937307
shale,3066.0,2.5440303667115183
shale,2409.196138,2.269716519855654
shale,2813.171625,2.43343717288378
shale,3209.0,2.4127780837093917
shale,3928.0,2.5845261400758823
shale,3665.083408,2.66787749410288
shale,3443.0,2.4864359778026572
shale,3290.0,2.3971194382622945
shale,5073.0,2.6823097545429304
shale,2745.0,2.321012104850521
shale,3750.165939,2.5457078998739022
shale,3602.0,2.6134084453941178
shale,3612.0,2.4690523322027738
shale,3540.80677,2.646536991816743
shale,3502.23136,2.588337405783298
shale,3077.780008,2.622173181072701
shale,2867.997408,2.44068044172023
shale,4067.380428,2.6152963083879928
shale,3789.063931,2.6430683267028603
shale,3827.327728,2.5357485617541626
shale,3120.0,2.494175242287913
shale,3296.0,2.45686934013377
shale,3777.0,2.6154721335804947
shale,5267.0,2.807050886430869
shale,3703.355789,2.555321922495566
shale,3531.0,2.4221808682823647
shale,4271.087170000001,2.523880625380875
shale,4876.972675,2.473823702895635
shale,2902.0,2.1513029792495444
shale,3436.0,2.473831803254808
shale,3466.670036,2.6159726740413145
shale,3510.0,2.3733542400427963
shale,3360.904932,2.3595803335069663
shale,3720.0,2.392413344444156
shale,3291.0,2.3814508426610717
shale,4124.915123,2.666386860808825
shale,3537.0,2.441533631987586
shale,3314.162254,2.493791696909532
shale,3214.0,2.4185508067945287
shale,4529.0,2.552656726362469
shale,3361.0,2.3541588231066424
shale,4158.0,2.587725864798253
shale,3353.5671230000003,2.479113071512001
shale,3522.0,2.395610193794925
shale,2615.0,2.2172037549967785
shale,4376.218796,2.7281897937772226
shale,4646.150589,2.691352791730342
shale,3246.0,2.60146570353371
shale,2429.502249,2.345116519652833
shale,3222.822905,2.54330636384572
shale,4615.839005,2.678980268340329
shale,2530.191422,2.3354860101977666
shale,3392.0,2.594364707404517
shale,4921.018124,2.659614203711267
shale,3081.0,2.4063007935866025
shale,3839.385748,2.597642100713232
shale,2933.330059,2.6377557139615333
shale,4534.067631,2.5384000145100054
shale,4333.960056,2.5748706661279925
shale,3911.908865,2.584758998187872
shale,3774.06168,2.677354974510159
shale,4614.006996,2.584020790822455
shale,5181.948662,2.5395937525970433
shale,1672.118664,2.337612903368232
shale,4212.965488,2.758194894601163
shale,3080.177784,2.4198381513708496
shale,4410.569668,2.6091219336007234
shale,5172.0,2.7749866642697905
shale,4173.278332,2.549843624867936
shale,4451.460362,2.680862868961187
shale,4224.761009000001,2.4864911492213904
shale,3460.0,2.3044743502470753
shale,3880.0,2.502688718896903
shale,3048.0,2.3785431564179627
shale,3512.0,2.495290824783
shale,5284.0,2.8232877330782418
shale,3379.433155,2.460075096553685
shale,3480.0,2.4909959781343725
shale,3956.939459,2.54675438732454
shale,3774.891853,2.6671024353651243
shale,3377.0,2.4131634246275273
shale,4752.160072,2.6618036547437294
shale,5181.0,2.803591053491187
shale,3870.524645,2.602079711660306
shale,2989.703894,2.551250879460554
shale,3730.671406,2.63485599513721
shale,2449.137688,2.2694224387689053
shale,3902.359009,2.64262435338608
shale,2900.000095,2.6375507936436504
shale,3573.994637,2.5261055289716263
shale,5134.899139,2.5649209708394114
shale,3214.996576,2.420255870685101
shale,3067.506075,2.6648890850659104
shale,4296.0,2.692037615547506
shale,4978.039264999999,2.503993847431081
shale,3287.508011,2.4020815639522697
shale,5180.48,2.530844346103685
shale,3441.8400880000004,2.6075486972603006
shale,5159.53,2.501602393772761
shale,1694.716096,2.272437648718755
shale,4549.847126,2.7368844515600643
shale,2357.632399,2.365237903228682
shale,2464.704037,2.3826469952257456
shale,4167.0,2.3379858497209676
shale,3862.884522,2.5643954208219997
shale,3453.0,2.392586042533323
shale,3004.095554,2.4450680800878244
shale,5267.0,2.781691251441749
shale,3536.0,2.42177370136286
shale,5092.429161,2.6672169124433465
shale,3324.643374,2.5700526959274423
shale,5077.095032,2.5215014854354956
limestone,3306.0,2.4423054146785166
limestone,3306.0,2.4623276583749836
limestone,2055.77,2.1120845711081424
limestone,2077.43,2.12129651134608
limestone,2023.62,1.83096238969138
limestone,2077.43,1.8661857102126989
limestone,1991.14,1.782729647226576
limestone,2023.62,1.7458790272060292
limestone,1948.16,1.8308296696439692
limestone,1991.14,1.76423677042919
limestone,2034.45,1.913907872402519
limestone,2120.41,1.9080126294831623
limestone,2260.5,1.8484356445606445
limestone,2325.13,1.8945642928733253
limestone,2217.19,1.836611294482136
limestone,2271.0,1.880358364474707
limestone,1905.18,1.8300740525762391
limestone,1948.16,1.785742824706808
limestone,2088.25,1.804809909427551
limestone,2195.87,1.7946114254196084
limestone,2378.94,1.8474383114074682
limestone,2421.92,1.8771245845003544
limestone,2281.82,1.8597668262091387
limestone,2174.21,1.870309220193569
limestone,2001.97,1.882291783214719
limestone,2023.62,1.9122643196058204
limestone,2055.77,1.9262361545038942
limestone,2066.6,1.9162565709430202
limestone,1948.16,1.8803113117455443
limestone,2001.97,1.8299832337926527
limestone,1958.99,1.8251660671251024
limestone,1958.99,1.721753508508119
limestone,1991.14,1.7739318195137523
limestone,1873.03,1.882065295332836
