RPC,Description,Lithology,Vp,Vs,Rho
104818,KIAMICHI FORMA. 4,sandstone,3045.6,1595.7,2108.0
104893,KIAMICHI REMOLD 3,sandstone,3000.6,1517.1,2126.0
104652,NAVAJO ARCO 2,sandstone,3363.6,2041.5,2162.0
104752,NAVAJO ARCO REMOL 1,sandstone,3195.3,1606.2,2160.0
104598,FERRON 82-3 1677.5,sandstone,4237.5,2448.6,2428.0
104601,FERRON 82-3 1677.5,sandstone,4319.1,2438.7,2428.0
104617,FERRON 82-3 1677.5,sandstone,4533.0,2726.7,2428.0
104700,NAVAJO ARCO 3,sandstone,3538.5,2085.0,2084.0
104674,NAVAJO ARCO 2,sandstone,3524.7,2015.4,2162.0
104678,NAVAJO ARCO 2,sandstone,3565.2,2080.8,2162.0
104657,NAVAJO ARCO 2,sandstone,3442.8,2117.7,2162.0
104845,KIAMICHI FORMA. 1,sandstone,3352.2,1960.8,2066.0
104666,NAVAJO ARCO 2,sandstone,3340.2,1819.2,2162.0
104649,NAVAJO ARCO 2,sandstone,3318.9,2092.8,2162.0
104711,NAVAJO ARCO REMOL 3,sandstone,4392.0,2887.0,2138.0
104777,NAVAJO ARCO REMOL 3,sandstone,3380.1,1712.4,2045.0
104827,KIAMICHI FORMA. 1,sandstone,3085.2,1758.0,2066.0
104683,NAVAJO ARCO 2,sandstone,3617.1,2107.8,2162.0
104712,NAVAJO ARCO REMOL 3,sandstone,5406.0,3455.0,2138.0
104701,NAVAJO ARCO 3,sandstone,3620.7,2157.3,2084.0
104581,FERRON 82-3 1677.5,sandstone,4017.0,2642.1,2428.0
104654,NAVAJO ARCO 2,sandstone,3400.5,2148.6,2162.0
104604,FERRON 82-3 1677.5,sandstone,4349.4,2600.4,2428.0
104814,KIAMICHI FORMA. 4,sandstone,3045.6,1734.6,2108.0
104756,NAVAJO ARCO REMOL 1,sandstone,3206.7,1627.5,2160.0
104828,KIAMICHI FORMA. 1,sandstone,3096.6,1960.8,2066.0
104615,FERRON 82-3 1677.5,sandstone,4541.4,2733.0,2428.0
104817,KIAMICHI FORMA. 4,sandstone,3019.5,1595.7,2108.0
104687,NAVAJO ARCO 3,sandstone,3113.4,1890.3,2084.0
104608,FERRON 82-3 1677.5,sandstone,4364.7,2606.1,2428.0
104612,FERRON 82-3 1677.5,sandstone,4558.2,2700.0,2428.0
104643,NAVAJO ARCO 2,sandstone,3155.1,2013.3,2162.0
104694,NAVAJO ARCO 3,sandstone,3361.5,2025.6,2084.0
104575,FERRON 82-3 1677.5,sandstone,3627.9,2373.3,2428.0
104676,NAVAJO ARCO 2,sandstone,3596.1,2018.7,2162.0
104579,FERRON 82-3 1677.5,sandstone,3534.3,2373.3,2428.0
104653,NAVAJO ARCO 2,sandstone,3381.9,2044.8,2162.0
104664,NAVAJO ARCO 2,sandstone,3149.7,1645.8,2162.0
104813,KIAMICHI FORMA. 4,sandstone,3012.3,1709.4,2108.0
104890,KIAMICHI REMOLD 3,sandstone,3000.6,1509.9,2126.0
104753,NAVAJO ARCO REMOL 1,sandstone,3252.9,1627.5,2160.0
104584,FERRON 82-3 1677.5,sandstone,4166.1,2642.1,2428.0
104685,NAVAJO ARCO 2,sandstone,3675.9,2111.4,2162.0
104580,FERRON 82-3 1677.5,sandstone,3836.1,2541.6,2428.0
104689,NAVAJO ARCO 3,sandstone,3343.5,2015.7,2084.0
104770,NAVAJO ARCO REMOL 3,sandstone,3020.1,1528.8,2045.0
104600,FERRON 82-3 1677.5,sandstone,4237.5,2419.8,2428.0
104619,FERRON 82-3 1677.5,sandstone,3991.2,2407.8,2395.0
104644,NAVAJO ARCO 2,sandstone,3050.7,1953.3,2162.0
104826,KIAMICHI FORMA. 1,sandstone,3047.7,1692.9,2066.0
104843,KIAMICHI FORMA. 1,sandstone,3207.0,1924.8,2066.0
104621,FERRON 82-3 1677.5,sandstone,4223.1,2549.4,2395.0
104622,FERRON 82-3 1677.5,sandstone,4319.1,2578.8,2395.0
104634,FERRON 82-3 1677.5,sandstone,4575.0,2826.6,2395.0
104706,NAVAJO ARCO 3,sandstone,3690.6,2184.0,2084.0
104669,NAVAJO ARCO 2,sandstone,3437.1,1876.8,2162.0
