RPC,MrAnisotropy,CommonGround,Citation,Reference,Type,Description,Lithology,Colour,Age,Location,Basin,Depth,Latitude,Longitude,Epsilon,Gamma,Delta,Vp,Vs,Rho,Rho_dry,Rho_grain,E_static,PR_static,E_dynamic,PR_dynamic,P_conf,P_pore,Eff_stress,Ax_stress,Frequency,Fluid,Saturation,Sat_fraction,Porosity,Permeability,Temperature,Composition,Remarks,URL
100001,1,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,1.36361,0.720879,1.4255,,,,,,,,,,3.454232034,,,,,,,,,,,,,
100002,2,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,1.21905,0.679853,1.3275,,,,,,,,,,5.181348051,,,,,,,,,,,,,
100003,3,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,1.10965,0.65641,1.2188,,,,,,,,,,6.908477857,,,,,,,,,,,,,
100004,4,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,1.04908,0.623199,1.1688,,,,,,,,,,8.587627047,,,,,,,,,,,,,
100005,5,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.968987,0.605617,1.07,,,,,,,,,,10.3146948,,,,,,,,,,,,,
100006,6,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.906471,0.58022,1.0705,,,,,,,,,,12.0418315,,,,,,,,,,,,,
100007,7,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.85177,0.566545,1.0443,,,,,,,,,,13.7689682,,,,,,,,,,,,,
100008,8,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.724786,0.515751,0.8844,,,,,,,,,,20.67744606,,,,,,,,,,,,,
100009,9,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.642735,0.484493,0.7847,,,,,,,,,,27.58585497,,,,,,,,,,,,,
100010,10,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.586081,0.468864,0.7319,,,,,,,,,,34.49433283,,,,,,,,,,,,,
100011,11,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 1,SHALE,,Jurassic,,,,,,0.547009,0.451282,0.6689,,,,,,,,,,41.35482317,,,,,,,,,,,,,
100012,13,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,1.17021,0.810745,0.7239,,,,,,,,,,6.860490346,,,,,,,,,,,,,
100013,14,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,1.09402,0.771673,0.5176,,,,,,,,,,8.635614558,,,,,,,,,,,,,
100014,15,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,1.02369,0.761905,0.5486,,,,,,,,,,10.36268231,,,,,,,,,,,,,
100015,16,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.955311,0.763858,0.6263,,,,,,,,,,12.0418315,,,,,,,,,,,,,
100016,17,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.900611,0.732601,0.5629,,,,,,,,,,13.7689682,,,,,,,,,,,,,
100017,18,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.746276,0.6779,0.3971,,,,,,,,,,20.62945855,,,,,,,,,,,,,
100018,19,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.640781,0.646642,0.2731,,,,,,,,,,27.53793641,,,,,,,,,,,,,
100019,20,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.582173,0.634921,0.2686,,,,,,,,,,34.44634532,,,,,,,,,,,,,
100020,21,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Haynesville Shale 2,SHALE,,Jurassic,,,,,,0.548962,0.619292,0.2104,,,,,,,,,,41.35482317,,,,,,,,,,,,,
100021,23,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.326252,0.252015,,,,,,,,,,,1.727116017,,,,,,,,,,,,,
100022,24,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.326252,0.238339,0.4169,,,,,,,,,,3.454232034,,,,,,,,,,,,,
100023,25,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.324298,0.248107,0.4502,,,,,,,,,,5.133374329,,,,,,,,,,,,,
100024,26,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.322344,0.250061,0.4513,,,,,,,,,,6.908477857,,,,,,,,,,,,,
100025,27,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.320391,0.257875,0.4538,,,,,,,,,,10.36268231,,,,,,,,,,,,,
100026,28,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.316484,0.261783,0.4519,,,,,,,,,,13.81695571,,,,,,,,,,,,,
100027,29,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.316484,0.246154,0.4741,,,,,,,,,,20.67744606,,,,,,,,,,,,,
100028,30,,"Sondergeld, 2011","Sondergeld, C., Rai, C., 2011, The Leading Edge; March 2011; v. 30; no. 3; p. 324-331",Core,Woodford Shale,SHALE,,Devonian,,,,,,0.31453,0.240293,0.5097,,,,,,,,,,27.53793641,,,,,,,,,,,,,
